ID	Organism	BioProject	SRR	Description
ASM_36	Salmonella Enteritidis	PRJNA295366	SRR2352220	clinical
ASM_37	Salmonella Enteritidis	PRJNA295366	SRR2352221	clinical
ASM_38	Salmonella Enteritidis	PRJNA295366	SRR2352222	clinical
ASM_39	Salmonella Enteritidis	PRJNA295366	SRR2352223	clinical
ASM_40	Salmonella Enteritidis	PRJNA295366	SRR2352224	pastuerized eggs
ASM_41	Salmonella Enteritidis	PRJNA295366	SRR2352225	clinical
ASM_42	Salmonella Enteritidis	PRJNA295366	SRR2352226	clinical
ASM_43	Salmonella Enteritidis	PRJNA295366	SRR2352227	clinical
ASM_44	Salmonella Enteritidis	PRJNA295366	SRR2352228	clinical
ASM_45	Salmonella Enteritidis	PRJNA295366	SRR2352229	clinical
ASM_46	Salmonella Enteritidis	PRJNA295366	SRR2352230	clinical
ASM_47	Salmonella Enteritidis	PRJNA295366	SRR2352231	clinical
ASM_48	Salmonella Enteritidis	PRJNA295366	SRR2352232	clinical
ASM_49	Salmonella Enteritidis	PRJNA295366	SRR2352233	"clinical, traceback to eggs from state #2"
ASM_50	Salmonella Enteritidis	PRJNA295366	SRR2352234	"clinical, traceback to eggs from state #2"
ASM_51	Listeria monocytogenes	PRJNA295367	SRR2352235	"environmental swab, facility #2"
ASM_52	Listeria monocytogenes	PRJNA295367	SRR2352236	"environmental swab, facility #2"
ASM_53	Listeria monocytogenes	PRJNA295367	SRR2352237	"food,facility #1"
ASM_54	Listeria monocytogenes	PRJNA295367	SRR2352238	"food,facility #1"
ASM_55	Listeria monocytogenes	PRJNA295367	SRR2352239	"environmental swab, facility #1"
ASM_56	Listeria monocytogenes	PRJNA295367	SRR2352240	"environmental swab, facility #1"
ASM_57	Listeria monocytogenes	PRJNA295367	SRR2352241	"environmental swab, facility #1"
ASM_58	Listeria monocytogenes	PRJNA295367	SRR2352242	"environmental swab, facility #1"
ASM_59	Listeria monocytogenes	PRJNA295367	SRR2352243	"environmental swab, facility #1"
ASM_60	Listeria monocytogenes	PRJNA295367	SRR2352244	"environmental swab, facility #1"
ASM_61	Listeria monocytogenes	PRJNA295367	SRR2352245	"environmental swab, facility #1"
ASM_62	Listeria monocytogenes	PRJNA295367	SRR2352246	"environmental swab, facility #1"
ASM_63	Listeria monocytogenes	PRJNA295367	SRR2352247	"environmental swab, facility #1"
ASM_64	Listeria monocytogenes	PRJNA295367	SRR2352248	"environmental swab, facility #1"
ASM_65	Listeria monocytogenes	PRJNA295367	SRR2352249	"environmental swab, facility #1"
ASM_66	Listeria monocytogenes	PRJNA295367	SRR2352250	"environmental swab, facility #1"
ASM_67	Listeria monocytogenes	PRJNA295367	SRR2352251	"food,facility #1"
ASM_68	Listeria monocytogenes	PRJNA295367	SRR2352252	"food,facility #1"
